#   k = (   0.000000E+00,   0.000000E+00 )
#       v      Im(iv)          Re(G(k,iv))      Im(G(k,iv))      abs(G(k,iv))
   -211091  -6.63161935E+02   9.09504833E-06   1.50787246E-03   1.50789989E-03
    -69659  -2.18840203E+02   8.34950453E-05   4.56801816E-03   4.56878116E-03
    -38967  -1.22418441E+02   2.66626234E-04   8.15999197E-03   8.16434679E-03
    -25979  -8.16154355E+01   5.99064323E-04   1.22232239E-02   1.22378953E-02
    -17867  -5.61308359E+01   1.26315627E-03   1.77255043E-02   1.77704549E-02
    -13091  -4.11265894E+01   2.34274835E-03   2.40873124E-02   2.42009729E-02
     -9739  -3.05959709E+01   4.20118009E-03   3.21347959E-02   3.24082555E-02
     -7063  -2.21890689E+01   7.86852050E-03   4.36487859E-02   4.43523407E-02
     -5309  -1.66787154E+01   1.35971383E-02   5.66957001E-02   5.83033840E-02
     -3885  -1.22050875E+01   2.42476912E-02   7.39862978E-02   7.78583508E-02
     -2835  -8.90641517E+00   4.19620484E-02   9.34328560E-02   1.02423201E-01
     -2149  -6.75128261E+00   6.49563477E-02   1.09634665E-01   1.27432676E-01
     -1579  -4.96057480E+00   9.85044504E-02   1.22159674E-01   1.56927093E-01
     -1191  -3.74163685E+00   1.33334016E-01   1.24721867E-01   1.82574653E-01
      -897  -2.81800861E+00   1.67076195E-01   1.17705539E-01   2.04374775E-01
      -661  -2.07659274E+00   1.96925623E-01   1.02233580E-01   2.21881513E-01
      -499  -1.56765473E+00   2.16713587E-01   8.49330202E-02   2.32762533E-01
      -365  -1.14668132E+00   2.31015199E-01   6.62252033E-02   2.40320203E-01
      -277  -8.70221165E-01   2.38702154E-01   5.19309167E-02   2.44285772E-01
      -203  -6.37743309E-01   2.43802591E-01   3.88708678E-02   2.46881850E-01
      -149  -4.68097305E-01   2.46622579E-01   2.88608412E-02   2.48305547E-01
      -111  -3.48716785E-01   2.48114279E-01   2.16304034E-02   2.49055355E-01
       -83  -2.60752190E-01   2.48942125E-01   1.62280511E-02   2.49470502E-01
       -61  -1.91637152E-01   2.49427489E-01   1.19498934E-02   2.49713580E-01
       -45  -1.41371669E-01   2.49688109E-01   8.82470621E-03   2.49844006E-01
       -33  -1.03672558E-01   2.49832175E-01   6.47518514E-03   2.49916074E-01
       -25  -7.85398163E-02   2.49903654E-01   4.90684678E-03   2.49951823E-01
       -19  -5.96902604E-02   2.49944342E-01   3.72981071E-03   2.49972169E-01
       -15  -4.71238898E-02   2.49965307E-01   2.94483440E-03   2.49982653E-01
       -11  -3.45575192E-02   2.49981342E-01   2.15968375E-03   2.49990671E-01
        -9  -2.82743339E-02   2.49987509E-01   1.76705758E-03   2.49993755E-01
        -7  -2.19911486E-02   2.49992444E-01   1.37440524E-03   2.49996222E-01
        -5  -1.57079633E-02   2.49996145E-01   9.81732565E-04   2.49998072E-01
        -3  -9.42477796E-03   2.49998612E-01   5.89045352E-04   2.49999306E-01
        -1  -3.14159265E-03   2.49999846E-01   1.96349420E-04   2.49999923E-01
         1   3.14159265E-03   2.49999846E-01  -1.96349420E-04   2.49999923E-01
         3   9.42477796E-03   2.49998612E-01  -5.89045352E-04   2.49999306E-01
         5   1.57079633E-02   2.49996145E-01  -9.81732565E-04   2.49998072E-01
         7   2.19911486E-02   2.49992444E-01  -1.37440524E-03   2.49996222E-01
         9   2.82743339E-02   2.49987509E-01  -1.76705758E-03   2.49993755E-01
        11   3.45575192E-02   2.49981342E-01  -2.15968375E-03   2.49990671E-01
