#   k = (   0.000000E+00,   0.000000E+00 )
#    l       s_l            Re(G(k,l))       Im(G(k,l))      abs(G(k,l))
     1   1.64686550E+00  -1.58493203E-01   0.00000000E+00   1.58493203E-01
     2   1.59587238E+00  -1.88804613E-01   0.00000000E+00   1.88804613E-01
     3   1.33893502E+00  -1.63236187E-01   0.00000000E+00   1.63236187E-01
     4   1.21631770E+00  -1.35145674E-01   0.00000000E+00   1.35145674E-01
     5   9.86556839E-01  -3.96697126E-02   0.00000000E+00   3.96697126E-02
     6   8.49018883E-01   1.45899413E-02   0.00000000E+00   1.45899413E-02
     7   6.85092351E-01   6.21540515E-02   0.00000000E+00   6.21540515E-02
     8   5.70860903E-01   7.61748640E-02   0.00000000E+00   7.61748640E-02
     9   4.60634721E-01   6.53575723E-02   0.00000000E+00   6.53575723E-02
    10   3.77165232E-01   4.27983588E-02   0.00000000E+00   4.27983588E-02
    11   3.04047163E-01   1.48681458E-02   0.00000000E+00   1.48681458E-02
    12   2.46494052E-01  -6.91306645E-03   0.00000000E+00   6.91306645E-03
    13   1.98283818E-01  -1.98150022E-02   0.00000000E+00   1.98150022E-02
    14   1.59750234E-01  -2.28290113E-02   0.00000000E+00   2.28290113E-02
    15   1.28161792E-01  -1.84588492E-02   0.00000000E+00   1.84588492E-02
    16   1.02800315E-01  -1.04922297E-02   0.00000000E+00   1.04922297E-02
    17   8.22437059E-02  -2.31762922E-03   0.00000000E+00   2.31762922E-03
    18   6.57413219E-02   3.61839561E-03   0.00000000E+00   3.61839561E-03
    19   5.24542674E-02   6.40931393E-03   0.00000000E+00   6.40931393E-03
    20   4.18077661E-02   6.33845604E-03   0.00000000E+00   6.33845604E-03
    21   3.32741342E-02   4.43202307E-03   0.00000000E+00   4.43202307E-03
    22   2.64530650E-02   1.90353382E-03   0.00000000E+00   1.90353382E-03
    23   2.10044158E-02  -2.75785347E-04   0.00000000E+00   2.75785347E-04
    24   1.66601795E-02  -1.57730285E-03   0.00000000E+00   1.57730285E-03
    25   1.31999060E-02  -1.92438661E-03   0.00000000E+00   1.92438661E-03
    26   1.04476935E-02  -1.55662964E-03   0.00000000E+00   1.55662964E-03
    27   8.26098018E-03  -8.46315343E-04   0.00000000E+00   8.46315343E-04
    28   6.52568693E-03  -1.37484041E-04   0.00000000E+00   1.37484041E-04
    29   5.15006437E-03   3.50469548E-04   0.00000000E+00   3.50469548E-04
    30   4.06074813E-03   5.46428474E-04   0.00000000E+00   5.46428474E-04
    31   3.19901180E-03   4.96688934E-04   0.00000000E+00   4.96688934E-04
    32   2.51798868E-03   3.08092462E-04   0.00000000E+00   3.08092462E-04
    33   1.98029091E-03   9.22963963E-05   0.00000000E+00   9.22963963E-05
    34   1.55614922E-03  -7.15180709E-05   0.00000000E+00   7.15180709E-05
    35   1.22188110E-03  -1.50138750E-04   0.00000000E+00   1.50138750E-04
    36   9.58673036E-04  -1.50163680E-04   0.00000000E+00   1.50163680E-04
    37   7.51594495E-04  -1.01218959E-04   0.00000000E+00   1.01218959E-04
    38   5.88810565E-04  -3.78172219E-05   0.00000000E+00   3.78172219E-05
    39   4.60949602E-04   1.37337543E-05   0.00000000E+00   1.37337543E-05
    40   3.60598385E-04   4.09286105E-05   0.00000000E+00   4.09286105E-05
    41   2.81898564E-04   4.40402953E-05   0.00000000E+00   4.40402953E-05
    42   2.20225041E-04   3.12378425E-05   0.00000000E+00   3.12378425E-05
    43   1.71929731E-04   1.29066926E-05   0.00000000E+00   1.29066926E-05
    44   1.34137798E-04  -2.66254617E-06   0.00000000E+00   2.66254617E-06
    45   1.04585741E-04  -1.12786117E-05   0.00000000E+00   1.12786117E-05
    46   8.14929206E-05  -1.27032598E-05   0.00000000E+00   1.27032598E-05
    47   6.34597222E-05  -9.23371065E-06   0.00000000E+00   9.23371065E-06
    48   4.93869167E-05  -3.95604212E-06   0.00000000E+00   3.95604212E-06
    49   3.84118765E-05   6.12874290E-07   0.00000000E+00   6.12874290E-07
    50   2.98581728E-05   3.17512752E-06   0.00000000E+00   3.17512752E-06
    51   2.31957859E-05   3.62999542E-06   0.00000000E+00   3.62999542E-06
    52   1.80097230E-05   2.64017566E-06   0.00000000E+00   2.64017566E-06
    53   1.39752899E-05   1.11888657E-06   0.00000000E+00   1.11888657E-06
    54   1.08386229E-05  -1.93659612E-07   0.00000000E+00   1.93659612E-07
    55   8.40137532E-06  -9.16622358E-07   0.00000000E+00   9.16622358E-07
    56   6.50868209E-06  -1.02913988E-06   0.00000000E+00   1.02913988E-06
    57   5.03970831E-06  -7.32796110E-07   0.00000000E+00   7.32796110E-07
    58   3.90023325E-06  -2.92825602E-07   0.00000000E+00   2.92825602E-07
    59   3.01683573E-06   7.43165871E-08   0.00000000E+00   7.43165871E-08
    60   2.33233870E-06   2.69485151E-07   0.00000000E+00   2.69485151E-07
    61   1.80224290E-06   2.88445237E-07   0.00000000E+00   2.88445237E-07
    62   1.39193695E-06   1.98090641E-07   0.00000000E+00   1.98090641E-07
    63   1.07451640E-06   6.98325147E-08   0.00000000E+00   6.98325147E-08
    64   8.29079918E-07  -2.77731893E-08   0.00000000E+00   2.77731893E-08
    65   6.39399300E-07  -7.89368112E-08   0.00000000E+00   7.89368112E-08
    66   4.92881827E-07  -9.07540935E-08   0.00000000E+00   9.07540935E-08
    67   3.79761337E-07  -4.21160451E-08   0.00000000E+00   4.21160451E-08
    68   2.92467977E-07  -1.50420407E-08   0.00000000E+00   1.50420407E-08
