#   k = (   0.000000E+00,   0.000000E+00 )
#     tau           Re(G(k,tau))     Im(G(k,tau))    abs(G(k,tau))
  1.35924220E-03  -1.64557729E-09   0.00000000E+00   1.64557729E-09
  7.22802769E-03  -4.34483671E-09   0.00000000E+00   4.34483671E-09
  1.80666459E-02   2.55209161E-10   0.00000000E+00   2.55209161E-10
  3.43992412E-02  -2.49733552E-09   0.00000000E+00   2.49733552E-09
  5.70789702E-02   3.64138001E-09   0.00000000E+00   3.64138001E-09
  8.74138514E-02  -3.97445438E-09   0.00000000E+00   3.97445438E-09
  1.27349980E-01  -8.27697246E-10   0.00000000E+00   8.27697246E-10
  1.79722785E-01  -8.00184889E-09   0.00000000E+00   8.00184889E-09
  2.48579503E-01   1.72391520E-09   0.00000000E+00   1.72391520E-09
  3.39572975E-01  -7.01094739E-09   0.00000000E+00   7.01094739E-09
  4.60444498E-01   7.20061525E-09   0.00000000E+00   7.20061525E-09
  6.21654224E-01  -4.28917581E-09   0.00000000E+00   4.28917581E-09
  8.37247777E-01   4.04822247E-09   0.00000000E+00   4.04822247E-09
  1.12605297E+00  -4.57536079E-10   0.00000000E+00   4.57536079E-10
  1.51330994E+00  -4.16680869E-11   0.00000000E+00   4.16680869E-11
  2.03287037E+00   1.31859351E-09   0.00000000E+00   1.31859351E-09
  2.73015307E+00  -1.81267009E-09   0.00000000E+00   1.81267009E-09
  3.66611099E+00   2.23243072E-09   0.00000000E+00   2.23243072E-09
  4.92255363E+00  -3.83472611E-09   0.00000000E+00   3.83472611E-09
  6.60928435E+00   2.81414320E-09   0.00000000E+00   2.81414320E-09
  8.87366452E+00  -3.23293985E-09   0.00000000E+00   3.23293985E-09
  1.19134107E+01   3.42929210E-09   0.00000000E+00   3.42929210E-09
  1.59936722E+01  -3.30340745E-09   0.00000000E+00   3.30340745E-09
  2.14697095E+01   2.59252126E-09   0.00000000E+00   2.59252126E-09
  2.88167393E+01  -2.21155735E-09   0.00000000E+00   2.21155735E-09
  3.86685549E+01   2.15838096E-09   0.00000000E+00   2.15838096E-09
  5.18659072E+01  -1.62698781E-09   0.00000000E+00   1.62698781E-09
  6.95132220E+01   1.58168713E-09   0.00000000E+00   1.58168713E-09
  9.30354923E+01  -8.27458796E-10   0.00000000E+00   8.27458796E-10
  1.24210926E+02   5.43860839E-10   0.00000000E+00   5.43860839E-10
  1.65120525E+02  -6.55292286E-10   0.00000000E+00   6.55292286E-10
  2.17896574E+02   5.49803848E-10   0.00000000E+00   5.49803848E-10
  2.84092545E+02  -3.69798640E-10   0.00000000E+00   3.69798640E-10
  3.63566861E+02   2.55578165E-10   0.00000000E+00   2.55578165E-10
  4.53228650E+02  -1.99059938E-10   0.00000000E+00   1.99059938E-10
  5.46771350E+02   1.74120375E-10  -0.00000000E+00   1.74120375E-10
  6.36433139E+02  -1.74887632E-10  -0.00000000E+00   1.74887632E-10
  7.15907455E+02   2.24656413E-10  -0.00000000E+00   2.24656413E-10
  7.82103426E+02  -3.70066423E-10  -0.00000000E+00   3.70066423E-10
  8.34879475E+02   5.40177367E-10  -0.00000000E+00   5.40177367E-10
  8.75789074E+02  -4.26421777E-10  -0.00000000E+00   4.26421777E-10
  9.06964508E+02   3.46209760E-10  -0.00000000E+00   3.46209760E-10
  9.30486778E+02  -1.02823793E-09  -0.00000000E+00   1.02823793E-09
  9.48134093E+02   1.26786939E-09  -0.00000000E+00   1.26786939E-09
  9.61331445E+02  -1.67664414E-09  -0.00000000E+00   1.67664414E-09
  9.71183261E+02   2.10704818E-09  -0.00000000E+00   2.10704818E-09
  9.78530291E+02  -2.10517827E-09  -0.00000000E+00   2.10517827E-09
  9.84006328E+02   3.11757978E-09  -0.00000000E+00   3.11757978E-09
  9.88086589E+02  -3.53380348E-09  -0.00000000E+00   3.53380348E-09
  9.91126335E+02   4.32567494E-09  -0.00000000E+00   4.32567494E-09
  9.93390716E+02  -3.14262030E-09  -0.00000000E+00   3.14262030E-09
  9.95077446E+02   1.14370089E-09  -0.00000000E+00   1.14370089E-09
  9.96333889E+02  -4.30918556E-07  -0.00000000E+00   4.30918556E-07
  9.97269847E+02  -1.80803109E-05  -0.00000000E+00   1.80803109E-05
  9.97967130E+02  -2.94131713E-04  -0.00000000E+00   2.94131713E-04
  9.98486690E+02  -2.35023768E-03  -0.00000000E+00   2.35023768E-03
  9.98873947E+02  -1.10623005E-02  -0.00000000E+00   1.10623005E-02
  9.99162752E+02  -3.51197705E-02  -0.00000000E+00   3.51197705E-02
  9.99378346E+02  -8.31909275E-02  -0.00000000E+00   8.31909275E-02
  9.99539556E+02  -1.58535302E-01  -0.00000000E+00   1.58535302E-01
  9.99660427E+02  -2.57099551E-01  -0.00000000E+00   2.57099551E-01
  9.99751420E+02  -3.69975682E-01  -0.00000000E+00   3.69975682E-01
  9.99820277E+02  -4.87292293E-01  -0.00000000E+00   4.87292293E-01
  9.99872650E+02  -6.00856036E-01  -0.00000000E+00   6.00856036E-01
  9.99912586E+02  -7.04930956E-01  -0.00000000E+00   7.04930956E-01
  9.99942921E+02  -7.95872820E-01  -0.00000000E+00   7.95872820E-01
  9.99965601E+02  -8.71449842E-01  -0.00000000E+00   8.71449842E-01
  9.99981933E+02  -9.30282868E-01  -0.00000000E+00   9.30282868E-01
  9.99992772E+02  -9.71501843E-01  -0.00000000E+00   9.71501843E-01
  9.99998641E+02  -9.94577786E-01  -0.00000000E+00   9.94577786E-01
