#     tau           Re(G(r,tau))     Im(G(r,tau))    abs(G(r,tau))
  1.35924220E-03  -4.98900113E-01   0.00000000E+00   4.98900113E-01
  7.22802769E-03  -4.94193213E-01   0.00000000E+00   4.94193213E-01
  1.80666459E-02  -4.85676917E-01   0.00000000E+00   4.85676917E-01
  3.43992412E-02  -4.73262962E-01   0.00000000E+00   4.73262962E-01
  5.70789702E-02  -4.56821732E-01   0.00000000E+00   4.56821732E-01
  8.74138514E-02  -4.36187698E-01   0.00000000E+00   4.36187698E-01
  1.27349980E-01  -4.11192389E-01   0.00000000E+00   4.11192389E-01
  1.79722785E-01  -3.81748198E-01   0.00000000E+00   3.81748198E-01
  2.48579503E-01  -3.48004880E-01   0.00000000E+00   3.48004880E-01
  3.39572975E-01  -3.10568131E-01   0.00000000E+00   3.10568131E-01
  4.60444498E-01  -2.70694532E-01   0.00000000E+00   2.70694532E-01
  6.21654224E-01  -2.30299099E-01   0.00000000E+00   2.30299099E-01
  8.37247777E-01  -1.91632358E-01   0.00000000E+00   1.91632358E-01
  1.12605297E+00  -1.56675078E-01   0.00000000E+00   1.56675078E-01
  1.51330994E+00  -1.26573753E-01   0.00000000E+00   1.26573753E-01
  2.03287037E+00  -1.01504222E-01   0.00000000E+00   1.01504222E-01
  2.73015307E+00  -8.10009837E-02   0.00000000E+00   8.10009837E-02
  3.66611099E+00  -6.43876678E-02   0.00000000E+00   6.43876678E-02
  4.92255363E+00  -5.10113515E-02   0.00000000E+00   5.10113515E-02
  6.60928435E+00  -4.03024032E-02   0.00000000E+00   4.03024032E-02
  8.87366452E+00  -3.17764969E-02   0.00000000E+00   3.17764969E-02
  1.19134107E+01  -2.50275136E-02   0.00000000E+00   2.50275136E-02
  1.59936722E+01  -1.97192109E-02   0.00000000E+00   1.97192109E-02
  2.14697095E+01  -1.55765564E-02   0.00000000E+00   1.55765564E-02
  2.88167393E+01  -1.23770096E-02   0.00000000E+00   1.23770096E-02
  3.86685549E+01  -9.94168497E-03   0.00000000E+00   9.94168497E-03
  5.18659072E+01  -8.12596573E-03   0.00000000E+00   8.12596573E-03
  6.95132220E+01  -6.80923806E-03   0.00000000E+00   6.80923806E-03
  9.30354923E+01  -5.88502272E-03   0.00000000E+00   5.88502272E-03
  1.24210926E+02  -5.25579682E-03   0.00000000E+00   5.25579682E-03
  1.65120525E+02  -4.83635973E-03   0.00000000E+00   4.83635973E-03
  2.17896574E+02  -4.56114074E-03   0.00000000E+00   4.56114074E-03
  2.84092545E+02  -4.38582003E-03   0.00000000E+00   4.38582003E-03
  3.63566861E+02  -4.28252437E-03   0.00000000E+00   4.28252437E-03
  4.53228650E+02  -4.23476255E-03   0.00000000E+00   4.23476255E-03
  5.46771350E+02  -4.23476255E-03  -0.00000000E+00   4.23476255E-03
  6.36433139E+02  -4.28252437E-03  -0.00000000E+00   4.28252437E-03
  7.15907455E+02  -4.38582003E-03  -0.00000000E+00   4.38582003E-03
  7.82103426E+02  -4.56114074E-03  -0.00000000E+00   4.56114074E-03
  8.34879475E+02  -4.83635973E-03  -0.00000000E+00   4.83635973E-03
  8.75789074E+02  -5.25579682E-03  -0.00000000E+00   5.25579682E-03
  9.06964508E+02  -5.88502272E-03  -0.00000000E+00   5.88502272E-03
  9.30486778E+02  -6.80923806E-03  -0.00000000E+00   6.80923806E-03
  9.48134093E+02  -8.12596573E-03  -0.00000000E+00   8.12596573E-03
  9.61331445E+02  -9.94168497E-03  -0.00000000E+00   9.94168497E-03
  9.71183261E+02  -1.23770096E-02  -0.00000000E+00   1.23770096E-02
  9.78530291E+02  -1.55765564E-02  -0.00000000E+00   1.55765564E-02
  9.84006328E+02  -1.97192109E-02  -0.00000000E+00   1.97192109E-02
  9.88086589E+02  -2.50275136E-02  -0.00000000E+00   2.50275136E-02
  9.91126335E+02  -3.17764969E-02  -0.00000000E+00   3.17764969E-02
  9.93390716E+02  -4.03024032E-02  -0.00000000E+00   4.03024032E-02
  9.95077446E+02  -5.10113515E-02  -0.00000000E+00   5.10113515E-02
  9.96333889E+02  -6.43876678E-02  -0.00000000E+00   6.43876678E-02
  9.97269847E+02  -8.10009837E-02  -0.00000000E+00   8.10009837E-02
  9.97967130E+02  -1.01504222E-01  -0.00000000E+00   1.01504222E-01
  9.98486690E+02  -1.26573753E-01  -0.00000000E+00   1.26573753E-01
  9.98873947E+02  -1.56675078E-01  -0.00000000E+00   1.56675078E-01
  9.99162752E+02  -1.91632358E-01  -0.00000000E+00   1.91632358E-01
  9.99378346E+02  -2.30299099E-01  -0.00000000E+00   2.30299099E-01
  9.99539556E+02  -2.70694532E-01  -0.00000000E+00   2.70694532E-01
  9.99660427E+02  -3.10568131E-01  -0.00000000E+00   3.10568131E-01
  9.99751420E+02  -3.48004880E-01  -0.00000000E+00   3.48004880E-01
  9.99820277E+02  -3.81748198E-01  -0.00000000E+00   3.81748198E-01
  9.99872650E+02  -4.11192389E-01  -0.00000000E+00   4.11192389E-01
  9.99912586E+02  -4.36187698E-01  -0.00000000E+00   4.36187698E-01
  9.99942921E+02  -4.56821732E-01  -0.00000000E+00   4.56821732E-01
  9.99965601E+02  -4.73262962E-01  -0.00000000E+00   4.73262962E-01
  9.99981933E+02  -4.85676917E-01  -0.00000000E+00   4.85676917E-01
  9.99992772E+02  -4.94193213E-01  -0.00000000E+00   4.94193213E-01
  9.99998641E+02  -4.98900113E-01  -0.00000000E+00   4.98900113E-01
