#   k = (   0.000000E+00,   0.000000E+00 )
#       v      Im(iv)        Re(Sigma(k,iv))  Im(Sigma(k,iv))   abs(Sigma(k,iv))
   -211091  -6.63161935E+02  -4.48101949E-06   1.50783212E-03   1.50783878E-03
    -69659  -2.18840203E+02  -4.10999152E-05   4.56689743E-03   4.56708237E-03
    -38967  -1.22418441E+02  -1.30954716E-04   8.15361579E-03   8.15466735E-03
    -25979  -8.16154355E+01  -2.93057940E-04   1.22018661E-02   1.22053848E-02
    -17867  -5.61308359E+01  -6.13047144E-04   1.76608115E-02   1.76714484E-02
    -13091  -4.11265894E+01  -1.12265481E-03   2.39267131E-02   2.39530364E-02
     -9739  -3.05959709E+01  -1.97069467E-03   3.17602406E-02   3.18213218E-02
     -7063  -2.21890689E+01  -3.54487232E-03   4.27408733E-02   4.28876249E-02
     -5309  -1.66787154E+01  -5.77430868E-03   5.47978582E-02   5.51012514E-02
     -3885  -1.22050875E+01  -9.32281618E-03   7.00761714E-02   7.06935973E-02
     -2835  -8.90641517E+00  -1.39766914E-02   8.63168613E-02   8.74411141E-02
     -2149  -6.75128261E+00  -1.84602043E-02   9.92621763E-02   1.00964146E-01
     -1579  -4.96057480E+00  -2.30207023E-02   1.09474105E-01   1.11868371E-01
     -1191  -3.74163685E+00  -2.61919272E-02   1.13019791E-01   1.16015043E-01
      -897  -2.81800861E+00  -2.82766021E-02   1.10435549E-01   1.13998144E-01
      -661  -2.07659274E+00  -2.95513378E-02   1.01810625E-01   1.06012664E-01
      -499  -1.56765473E+00  -3.01723254E-02   9.03873843E-02   9.52903376E-02
      -365  -1.14668132E+00  -3.05314830E-02   7.60689594E-02   8.19674206E-02
      -277  -8.70221165E-01  -3.06983102E-02   6.35515035E-02   7.05774740E-02
      -203  -6.37743309E-01  -3.08003788E-02   5.06734403E-02   5.92997545E-02
      -149  -4.68097305E-01  -3.08542754E-02   3.96783355E-02   5.02628751E-02
      -111  -3.48716785E-01  -3.08821671E-02   3.10103516E-02   4.37647136E-02
       -83  -2.60752190E-01  -3.08974894E-02   2.40690897E-02   3.91660048E-02
       -61  -1.91637152E-01  -3.09064301E-02   1.82488014E-02   3.58918678E-02
       -45  -1.41371669E-01  -3.09112192E-02   1.37930275E-02   3.38489451E-02
       -33  -1.03672558E-01  -3.09138644E-02   1.03165558E-02   3.25898502E-02
       -25  -7.85398163E-02  -3.09151758E-02   7.92939474E-03   3.19158800E-02
       -19  -5.96902604E-02  -3.09159226E-02   6.09977127E-03   3.15119260E-02
       -15  -4.71238898E-02  -3.09163069E-02   4.86040170E-03   3.12960307E-02
       -11  -3.45575192E-02  -3.09166013E-02   3.60546467E-03   3.11261242E-02
        -9  -2.82743339E-02  -3.09167143E-02   2.97288821E-03   3.10593189E-02
        -7  -2.19911486E-02  -3.09168049E-02   2.33823031E-03   3.10050987E-02
        -5  -1.57079633E-02  -3.09168728E-02   1.70456343E-03   3.09638266E-02
        -3  -9.42477796E-03  -3.09169180E-02   1.08282437E-03   3.09358745E-02
        -1  -3.14159265E-03  -3.09169407E-02   5.72015410E-04   3.09222318E-02
         1   3.14159265E-03  -3.09169407E-02  -5.72015410E-04   3.09222318E-02
         3   9.42477796E-03  -3.09169180E-02  -1.08282437E-03   3.09358745E-02
         5   1.57079633E-02  -3.09168728E-02  -1.70456343E-03   3.09638266E-02
         7   2.19911486E-02  -3.09168049E-02  -2.33823031E-03   3.10050987E-02
         9   2.82743339E-02  -3.09167143E-02  -2.97288821E-03   3.10593189E-02
        11   3.45575192E-02  -3.09166013E-02  -3.60546467E-03   3.11261242E-02
        15   4.71238898E-02  -3.09163069E-02  -4.86040170E-03   3.12960307E-02
        19   5.96902604E-02  -3.09159226E-02  -6.09977127E-03   3.15119260E-02
        25   7.85398163E-02  -3.09151758E-02  -7.92939474E-03   3.19158800E-02
        33   1.03672558E-01  -3.09138644E-02  -1.03165558E-02   3.25898502E-02
        45   1.41371669E-01  -3.09112192E-02  -1.37930275E-02   3.38489451E-02
        61   1.91637152E-01  -3.09064301E-02  -1.82488014E-02   3.58918678E-02
        83   2.60752190E-01  -3.08974894E-02  -2.40690897E-02   3.91660048E-02
       111   3.48716785E-01  -3.08821671E-02  -3.10103516E-02   4.37647136E-02
       149   4.68097305E-01  -3.08542754E-02  -3.96783355E-02   5.02628751E-02
       203   6.37743309E-01  -3.08003788E-02  -5.06734403E-02   5.92997545E-02
       277   8.70221165E-01  -3.06983102E-02  -6.35515035E-02   7.05774740E-02
       365   1.14668132E+00  -3.05314830E-02  -7.60689594E-02   8.19674206E-02
       499   1.56765473E+00  -3.01723254E-02  -9.03873843E-02   9.52903376E-02
