#   k = (   0.000000E+00,   0.000000E+00 )
#    l       s_l          Re(Sigma(k,l))   Im(Sigma(k,l))   abs(Sigma(k,l))
     1   1.64686550E+00  -1.54979496E-01  -9.55811677E-20   1.54979496E-01
     2   1.59587238E+00   3.06155650E-02  -6.06369664E-19   3.06155650E-02
     3   1.33893502E+00  -1.56592500E-01   1.22524941E-19   1.56592500E-01
     4   1.21631770E+00   2.81953170E-02  -5.25085559E-19   2.81953170E-02
     5   9.86556839E-01  -3.62925720E-02   1.99366265E-19   3.62925720E-02
     6   8.49018883E-01   7.48484536E-03  -1.31236260E-19   7.48484536E-03
     7   6.85092351E-01   5.58035805E-02  -2.23569859E-20   5.58035805E-02
     8   5.70860903E-01  -7.52747838E-03   7.62783801E-20   7.52747838E-03
     9   4.60634721E-01   5.52048753E-02  -1.88287511E-19   5.52048753E-02
    10   3.77165232E-01  -9.95589512E-03   3.53741708E-20   9.95589512E-03
    11   3.04047163E-01   1.25749922E-02  -1.01870664E-19   1.25749922E-02
    12   2.46494052E-01  -4.89703605E-03  -9.08595102E-20   4.89703605E-03
    13   1.98283818E-01  -1.33184102E-02  -1.56941865E-20   1.33184102E-02
    14   1.59750234E-01   4.68552017E-04  -1.55874339E-19   4.68552017E-04
    15   1.28161792E-01  -1.22825200E-02  -2.69807533E-20   1.22825200E-02
    16   1.02800315E-01   2.52734202E-03  -1.16613321E-19   2.52734202E-03
    17   8.22437059E-02  -2.33608174E-03  -4.61207083E-20   2.33608174E-03
    18   6.57413219E-02   1.73649119E-03  -1.95840453E-20   1.73649119E-03
    19   5.24542674E-02   2.81865630E-03  -9.15524381E-22   2.81865630E-03
    20   4.18077661E-02   2.16349429E-04   6.76325917E-20   2.16349429E-04
    21   3.32741342E-02   2.26675248E-03   5.23247584E-20   2.26675248E-03
    22   2.64530650E-02  -5.68076182E-04   1.07238940E-19   5.68076182E-04
    23   2.10044158E-02   2.89751447E-04   5.16976032E-20   2.89751447E-04
    24   1.66601795E-02  -4.82883638E-04   1.07854134E-19   4.82883638E-04
    25   1.31999060E-02  -5.55366523E-04   5.37185780E-21   5.55366523E-04
    26   1.04476935E-02  -9.67915298E-05   1.03025187E-19   9.67915298E-05
    27   8.26098018E-03  -3.62770512E-04  -2.89270198E-20   3.62770512E-04
    28   6.52568693E-03   1.26421743E-04   1.14645575E-19   1.26421743E-04
    29   5.15006437E-03  -8.63341819E-06  -1.91230138E-20   8.63341819E-06
