#    l    Re(Sigma(r,l))   Im(Sigma(r,l))  abs(Sigma(r,l))
     1  -1.58329499E-01   0.00000000E+00   1.58329499E-01
     2   5.64177363E-15   0.00000000E+00   5.64177363E-15
     3  -1.56968408E-01   0.00000000E+00   1.56968408E-01
     4   2.18318879E-15   0.00000000E+00   2.18318879E-15
     5  -3.30297386E-02   0.00000000E+00   3.30297386E-02
     6  -6.32942197E-15   0.00000000E+00   6.32942197E-15
     7   5.67228327E-02   0.00000000E+00   5.67228327E-02
     8  -7.18802147E-15   0.00000000E+00   7.18802147E-15
     9   5.28438524E-02   0.00000000E+00   5.28438524E-02
    10  -4.45893920E-15   0.00000000E+00   4.45893920E-15
    11   1.12663120E-02   0.00000000E+00   1.12663120E-02
    12   2.76513030E-15   0.00000000E+00   2.76513030E-15
    13  -1.22495952E-02   0.00000000E+00   1.22495952E-02
    14   4.15521088E-15   0.00000000E+00   4.15521088E-15
    15  -1.11188418E-02   0.00000000E+00   1.11188418E-02
    16   4.88506187E-15   0.00000000E+00   4.88506187E-15
    17  -2.44058863E-03   0.00000000E+00   2.44058863E-03
    18  -1.92689313E-15   0.00000000E+00   1.92689313E-15
    19   2.17394812E-03   0.00000000E+00   2.17394812E-03
    20  -5.93366039E-16   0.00000000E+00   5.93366039E-16
    21   2.01795491E-03   0.00000000E+00   2.01795491E-03
    22  -2.54440287E-15   0.00000000E+00   2.54440287E-15
    23   4.71574474E-04   0.00000000E+00   4.71574474E-04
    24   2.68129204E-16   0.00000000E+00   2.68129204E-16
    25  -3.52569337E-04   0.00000000E+00   3.52569337E-04
    26   1.50432468E-15   0.00000000E+00   1.50432468E-15
    27  -3.39012745E-04   0.00000000E+00   3.39012745E-04
    28   1.77298140E-15   0.00000000E+00   1.77298140E-15
    29  -8.20525543E-05   0.00000000E+00   8.20525543E-05
    30  -1.66777905E-16   0.00000000E+00   1.66777905E-16
    31   5.46688352E-05   0.00000000E+00   5.46688352E-05
    32  -2.55129078E-15   0.00000000E+00   2.55129078E-15
    33   5.30592654E-05   0.00000000E+00   5.30592654E-05
    34  -3.52005866E-15   0.00000000E+00   3.52005866E-15
    35   1.26906113E-05   0.00000000E+00   1.26906113E-05
    36  -2.55512178E-15   0.00000000E+00   2.55512178E-15
    37  -8.09266383E-06   0.00000000E+00   8.09266383E-06
    38   1.23659236E-15   0.00000000E+00   1.23659236E-15
    39  -7.62962633E-06   0.00000000E+00   7.62962633E-06
    40   6.28725309E-15   0.00000000E+00   6.28725309E-15
    41  -1.74355003E-06   0.00000000E+00   1.74355003E-06
    42   6.84292569E-15   0.00000000E+00   6.84292569E-15
    43   1.09337558E-06   0.00000000E+00   1.09337558E-06
    44   8.67810674E-15   0.00000000E+00   8.67810674E-15
    45   9.82082234E-07   0.00000000E+00   9.82082234E-07
    46   6.10258952E-15   0.00000000E+00   6.10258952E-15
    47   2.20876848E-07   0.00000000E+00   2.20876848E-07
    48   4.61101473E-15   0.00000000E+00   4.61101473E-15
    49  -1.20223712E-07   0.00000000E+00   1.20223712E-07
    50   1.68010885E-16   0.00000000E+00   1.68010885E-16
    51  -1.09265768E-07   0.00000000E+00   1.09265768E-07
    52  -9.18143259E-17   0.00000000E+00   9.18143259E-17
    53  -2.98524039E-08   0.00000000E+00   2.98524039E-08
    54  -5.53970483E-15   0.00000000E+00   5.53970483E-15
    55   6.88598501E-09   0.00000000E+00   6.88598501E-09
    56  -4.43131815E-15   0.00000000E+00   4.43131815E-15
    57   1.03760439E-08   0.00000000E+00   1.03760439E-08
    58  -6.13652608E-15   0.00000000E+00   6.13652608E-15
    59   5.37719600E-09   0.00000000E+00   5.37719600E-09
    60  -2.96031508E-15   0.00000000E+00   2.96031508E-15
    61   1.10995613E-09   0.00000000E+00   1.10995613E-09
    62  -3.61486538E-15   0.00000000E+00   3.61486538E-15
    63  -9.77878602E-10   0.00000000E+00   9.77878602E-10
    64  -1.30063898E-16   0.00000000E+00   1.30063898E-16
    65  -1.13044105E-09   0.00000000E+00   1.13044105E-09
    66  -4.29566384E-17   0.00000000E+00   4.29566384E-17
    67  -3.67572290E-10   0.00000000E+00   3.67572290E-10
    68   1.59823228E-16   0.00000000E+00   1.59823228E-16
    69   1.16302356E-10   0.00000000E+00   1.16302356E-10
    70   1.25811152E-16   0.00000000E+00   1.25811152E-16
